title,authors,average_rating,isbn,language_code,# num_pages
Plays: Mrs Warren's Profession/Man and Superman/Major Barbara/Pygmalion,George Bernard Shaw-Sandie Byrne,3.94,393977536,eng,551
The Portable Bernard Shaw,George Bernard Shaw-Stanley Weintraub,4,140150900,eng,698
Pygmalion & My Fair Lady,George Bernard Shaw-Alan Jay Lerner,4.25,451530098,eng,240
Saint Joan/Major Barbara/Androcles and the Lion,George Bernard Shaw,3.55,394604806,eng,479
Pygmalion,George Bernard Shaw,3.9,486282228,eng,82
Plays Pleasant,George Bernard Shaw-Dan H. Laurence-W.J. McCormack,3.92,140437940,eng,336
The Metamorphosis (Graphic Novel Adaptation),Peter Kuper-Franz Kafka-Kerstin Hasenpusch,3.77,1400047951,eng,80
The Metamorphosis,Franz Kafka-Peter Kuper-Kerstin Hasenpusch,3.77,1400052998,eng,80
The Metamorphosis,Franz Kafka-Stanley Corngold,3.8,393967972,eng,232
The Metamorphosis and Other Stories,Franz Kafka-Jason Baker-Donna Freed,4.03,1593080298,eng,224
The Metamorphosis and Other Stories,Franz Kafka-Stanley Appelbaum,4.03,486290301,eng,88
Antigone,Jean Anouilh,3.81,9990824495,fre,122
Antigone (The Theban Plays  #3),Sophocles-J.E. Thomas,3.63,1580493882,eng,80
Antigone's Claim: Kinship Between Life and Death,Judith Butler,3.76,231118953,en-US,118
Gulliver's Travels,Jonathan Swift-Robert DeMaria Jr.,3.56,141439491,eng,306
Gulliver's Travels,Jonathan Swift-Claude Julien Rawson-Ian Higgins,3.56,192805347,eng,422
Gulliver's Travels,Jonathan Swift-David Case,3.56,1400102723,eng,0
Gulliver's Travels,Gill Harvey-Jonathan Swift,3.34,794503292,eng,64
Gulliver's Travels,Martin Woodside-Jamel Akib-Arthur Pober-Jonathan Swift,3.93,1402726627,eng,160
Gulliver's Travels,Jonathan Swift-Robert Hardy,3.56,1844560341,eng,3
Ahab's Wife  or The Star-Gazer,Sena Jeter Naslund,4.03,60838744,eng,704
Fear and Loathing in Las Vegas,Hunter S. Thompson-Ralph Steadman,4.08,679785892,eng,204
Fear and Loathing in Las Vegas and Other American Stories (Modern Library),Hunter S. Thompson-Ralph Steadman,4.21,679602984,eng,283
Fear and Loathing in Las Vegas,Hunter S. Thompson-Ralph Steadman,4.08,7204493,eng,230
Fear and Loathing on the Campaign Trail '72,Hunter S. Thompson,4.11,446698229,eng,481
Fear and Loathing in Las Vegas,Hunter S. Thompson-Ralph Steadman,4.08,446313939,eng,208
Fear and Loathing in Las Vegas,Hunter S. Thompson-Ralph Steadman,4.08,445084316,eng,208
Fear and Loathing in America: The Brutal Odyssey of an Outlaw Journalist  1968-1976,Hunter S. Thompson,4.07,684873168,eng,784
Cliffsnotes on Beckett's Waiting for Godot and Other Plays,James Lamar Roberts-Jeffrey Fisher,3.67,822013541,eng,72
The Joy Luck Club,Amy Tan,3.91,143038095,eng,288
The Joy Luck Club (Oxford Bookworms Library: Stage 6 Reader),Clare West-Amy Tan,4.3,194230899,eng,120
Dr. Seuss's ABC,Dr. Seuss,4.08,679882812,eng,21
Dr. Seuss's Sleep Book,Dr. Seuss,4.17,394800915,eng,58
Happy Birthday to You!,Dr. Seuss,4.12,394800761,eng,64
McElligot's Pool,Dr. Seuss,4.07,394800834,eng,64
The Cat in the Hat,Dr. Seuss,4.16,679891110,eng,61
Horton Hears a Who!,Dr. Seuss,4.17,679800034,eng,64
The 500 Hats of Bartholomew Cubbins,Dr. Seuss,4.04,039484484X,eng,56
Oh Say Can You Say?,Dr. Seuss,4.01,7175221,eng,36
The Lorax,Dr. Seuss,4.35,679889108,eng,72
I Can Read With My Eyes Shut!,Dr. Seuss,4.2,7158513,eng,48
¡Horton escucha a quién!,Dr. Seuss-Yanitzia Canetti,4.17,1930332351,spa,64
The Cat in the Hat and Other Dr. Seuss Favorites,Dr. Seuss-Various,4.41,807218731,eng,61
Daisy-Head Mayzie,Dr. Seuss,3.86,679867120,eng,56
Dr. Seuss Goes to War: The World War II Editorial Cartoons of Theodor Seuss Geisel,Richard H. Minear-Art Spiegelman-Dr. Seuss,4.18,1565847040,eng,272
Dr. Seuss's ABC (Book & CD),Dr. Seuss,4.08,375834966,eng,64
Cattus Petasatus: The Cat in the Hat in Latin,Dr. Seuss-Jennifer Morrish Tunberg-Terence Tunberg-Terence O. Tunberg-Guenevera Tunberg-Terentio Tunberg,4.16,865164711,lat,75
Ten Apples Up On Top!,Theo LeSieg-Dr. Seuss-Roy McKie,4.12,7169973,eng,62
The Legacy of Luna: The Story of a Tree  a Woman  and the Struggle to Save the Redwoods,Julia Butterfly Hill,3.94,62516590,eng,262
Pale Fire,Vladimir Nabokov,4.17,141185260,eng,246
Nabokov's Pale Fire: The Magic of Artistic Discovery,Brian Boyd,4.22,691089574,eng,320
Novels 1955–1962: Lolita / Pnin / Pale Fire / Lolita: A Screenplay,Vladimir Nabokov-Brian Boyd,4.41,1883011191,eng,916
A Friend of the Earth,T. Coraghessan Boyle,3.67,747553467,eng,275
The Year of Magical Thinking,Joan Didion,3.88,1400078431,eng,227
Slouching Towards Bethlehem,Joan Didion,4.22,7115229,eng,207
The White Album,Joan Didion,4.17,6545866,eng,224
Seduction and Betrayal: Women and Literature,Elizabeth Hardwick-Joan Didion,4.06,940322781,eng,224
Slouching Toward Bethlehem,Joan Didion,4.22,440080274,eng,256
After Henry,Joan Didion,3.82,679745394,eng,320
Another Day in Paradise: The Fourth Sherman's Lagoon Collection,Jim Toomey,4.34,740720120,eng,130
Another Day in Cubicle Paradise,Scott Adams,3.99,740721941,eng,128
Moby Dick,Herman Melville,3.49,140620621,eng,536
Moby-Dick,Herman Melville-Nathaniel Philbrick,3.49,142000086,en-US,625
Moby-Dick; or  The Whale,Herman Melville-Rockwell Kent-Elizabeth Hardwick,3.49,067978327X,eng,896
Moby Dick  or The Whale,Herman Melville-Harrison Hayford-Hershel Parker,3.49,810119110,en-US,573
The Girl in the Flammable Skirt,Aimee Bender,3.88,385492162,eng,192
Planet of Slums,Mike  Davis,3.91,1844670228,eng,228
Late Victorian Holocausts: El Niño Famines and the Making of the Third World,Mike  Davis,4.1,1859843824,eng,464
No One Is Illegal: Fighting Racism and State Violence on the U.S.-Mexico Border,Justin Akers Chacón-Mike  Davis,4.07,1931859353,eng,240
Days Between Stations,Steve Erickson,3.99,708837581,eng,249
Days Between Stations,Steve Erickson,3.99,743265696,eng,256
The Bourne Identity (Jason Bourne  #1),Robert Ludlum,4,752864327,eng,566
Little Plum,Rumer Godden-Jean Primrose,4.22,140307370,eng,144
On the Banks of Plum Creek (Little House  #4),Laura Ingalls Wilder-Garth Williams,4.2,590488155,en-US,339
Betsy's Wedding (Betsy-Tacy  #10),Maud Hart Lovelace-Vera Neville,4.31,64405443,en-US,260
Betsy and the Great World (Betsy-Tacy  #9),Maud Hart Lovelace-Vera Neville,4.13,64405451,eng,321
Betsy and Tacy Go Over the Big Hill (Betsy-Tacy  #3),Maud Hart Lovelace-Lois Lenski,4.17,64400999,en-US,192
Maud Hart Lovelace's Deep Valley: A Guidebook of Mankato Places in the Betsy-Tacy Series,Julie A. Schrader,4.29,971316821,en-US,325
Early Candlelight,Maud Hart Lovelace-Rhoda R. Gilman,3.66,873512693,eng,342
Betsy and Joe (Betsy-Tacy  #8),Maud Hart Lovelace-Vera Neville,4.31,006440546X,eng,336
The Betsy-Tacy Treasury (Betsy-Tacy  #1–4),Maud Hart Lovelace-Lois Lenski,4.55,60249196,en-US,592
Between Deep Valley and the Great World: Maud Hart Lovelace in Minneapolis,Amy Dolnick,3.9,964084600,eng,63
Betsy Was a Junior (Betsy-Tacy  #7),Maud Hart Lovelace-Vera Neville,4.17,64405478,en-US,320
Betsy and Tacy Go Downtown (Betsy-Tacy  #4),Maud Hart Lovelace-Lois Lenski,4.21,690134495,eng,180
Emily of Deep Valley (Deep Valley  #2),Maud Hart Lovelace-Vera Neville,4.23,64408582,eng,304
Heaven to Betsy (Betsy-Tacy  #5),Maud Hart Lovelace-Vera Neville,4.29,64401103,eng,368
Betsy-Tacy (Betsy-Tacy  #1),Maud Hart Lovelace-Lois Lenski,4.07,64400964,en-US,144
Five Little Peppers and How They Grew,Margaret Sidney,4.03,1416916172,eng,352
Five Little Peppers at School,Margaret Sidney-Barbara Cooney,3.91,044040035X,eng,320
All-of-a-Kind Family Uptown,Sydney Taylor,4.28,929093097,eng,160
All-of-a-Kind Family,Sydney Taylor,4.22,385732953,eng,188
Baby Island,Carol Ryrie Brink,4.04,059033221X,eng,154
Winter Cottage,Carol Ryrie Brink,4.15,20419708,eng,178
Betsy's Little Star,Carolyn Haywood,4.05,440401720,eng,157
Eddie and Louella,Carolyn Haywood,4,688212549,eng,192
Eddie's Valuable Property,Carolyn Haywood,4.08,688320147,eng,192
Empire (Empire  #1),Orson Scott Card,3.43,765316110,en-US,352
Treason,Orson Scott Card,3.9,765309041,eng,288
First Meetings in Ender's Universe (Ender's Saga  #0.5),Orson Scott Card,3.83,765347989,eng,212
Sarah (Women of Genesis  #1),Orson Scott Card,3.88,765341174,eng,341
Rachel & Leah (Women of Genesis  #3),Orson Scott Card,3.85,765341298,en-GB,368
How to Write Science Fiction and Fantasy,Orson Scott Card,3.9,898794161,eng,140
Saints,Orson Scott Card,3.53,312876068,eng,608
Heartfire (Tales of Alvin Maker  #5),Orson Scott Card,3.7,1841490326,en-US,336
Homebody,Orson Scott Card,3.39,61093998,eng,430
Rebekah (Women of Genesis  #2),Orson Scott Card,3.84,076534128X,eng,416
Speaker for the Dead (Ender's Saga  #2),Orson Scott Card,4.06,812550757,eng,382
Red Prophet (Tales of Alvin Maker  #2),Orson Scott Card,3.79,812524268,en-US,311
The Call of Earth (Homecoming  #2),Orson Scott Card,3.58,812532619,eng,352
Shadow of the Hegemon (Shadow  #2),Orson Scott Card-David Birney-Scott Brick-Gabrielle de Cuir-Scott Sowers,3.94,1593974809,eng,13
Enchantment,Orson Scott Card,3.9,345482409,eng,422
Voyage of Slaves (Flying Dutchman  #3),Brian Jacques-David Elliot,4.13,399245499,en-US,356
High Rhulain (Redwall  #18),Brian Jacques-David Elliot,4.12,399242082,en-US,341
Salamandastron (Redwall  #5),Brian Jacques-Gary Chalk,4.06,142501522,en-US,400
The Legend of Luke (Redwall  #12),Brian Jacques,4,142501093,eng,374
Redwall (Redwall  #1),Brian Jacques,4.13,1862301387,eng,352
Castaways of the Flying Dutchman (Flying Dutchman  #1),Brian Jacques-Ian Schoenherr,3.99,142501182,eng,356
Outcast of Redwall (Redwall  #8),Brian Jacques,3.92,142401420,en-US,368
Triss (Redwall  #15),Brian Jacques-Allan Curless,3.98,142402486,eng,389
A Redwall Winter's Tale,Brian Jacques-Christopher Denise,4.13,142401986,en-US,72
Mr. Impossible,Roger Hargreaves,3.94,084317420X,eng,32
Mr. Christmas,Roger Hargreaves-Adam Hargreaves,3.64,843121106,eng,40
Mr. Bump,Roger Hargreaves,4.03,843178388,eng,32
Little Miss Bad (Little Miss Books  #32),Roger Hargreaves-Adam Hargreaves,3.89,749858532,eng,34
Little Miss Birthday,Roger Hargreaves-Adam Hargreaves,4,843121319,eng,32
Little Miss Scary,Roger Hargreaves-Adam Hargreaves,3.73,749858524,eng,32
Mr. Jelly and the Pirates,Roger Hargreaves-Adam Hargreaves,3.82,084312492X,eng,32
Grandma Baa (Easy Peasy People),Roger Hargreaves-Gray Jolliffe,4.12,679801243,eng,32
Bill Buzz (Easy Peasy People),Roger Hargreaves-Gray Jolliffe,4.67,679801154,eng,32
Gary Grizzle (Easy Peasy People),Roger Hargreaves-Gray Jolliffe,4.5,679801251,eng,32
Charlie Oink (Easy Peasy People),Roger Hargreaves-Gray Jolliffe,4.33,067980126X,eng,32
Madame Je-Sais-Tout,Roger Hargreaves,3.75,2010189140,fre,36
The Poppy Seed Cakes,Margery Clark-Maud Petersham-Miska Petersham,4.4,385074573,eng,158
Cloudy with a Chance of Meatballs,Judi Barrett-Ron Barrett-Linda Terheyden-Jerry Terheyden,4.16,941078914,eng,1
Cloudy with a Chance of Meatballs,Judi Barrett-Ron Barrett-Linda Terheyden-Jerry Terheyden,4.16,1591127017,en-US,1
Pickles To Pittsburgh (Cloudy with a Chance of Meatballs  #2),Judi Barrett-Ron Barrett,3.7,439202248,eng,32
Cloudy With a Chance of Meatballs,Judi Barrett-Ron Barrett,4.16,689707495,eng,32
The Wind Thief,Judi Barrett-Diane Dawson Hearn,3.8,689305648,eng,32
Animales No Se Visten  Los (Animals Should Definitely Not Wear Clothing) with CD,Judi Barrett-Ron Barrett,4.1,1595191356,eng,32
Beauty,Robin McKinley,4.05,60753102,eng,325
A Robin McKinley Collection: Spindle's End  The Hero and the Crown and The Blue Sword (Folktales #1-3),Robin McKinley,4.39,142302333,eng,1008
Deerskin,Robin McKinley,3.89,441012396,en-US,384
Sunshine,Robin McKinley,3.85,515138819,en-US,405
Rose Daughter,Robin McKinley,3.77,441005837,eng,304
The Door in the Hedge,Robin McKinley,3.68,698119606,eng,224
The Blue Sword,Robin McKinley,4.23,141311886,eng,272
The Stone Fey,Robin McKinley-John Clapp,3.35,152000178,eng,64
Anne of Green Gables (Anne of Green Gables  #1),L.M. Montgomery,4.24,451528824,eng,320
Anne of Green Gables,L.M. Montgomery-Barbara Caruso,4.24,1419326961,en-US,9
The Road to Yesterday (Anne of Green Gables  #9),L.M. Montgomery,3.81,553560689,eng,403
Anne of Avonlea,L.M. Montgomery-Clare Sieffert,4.22,448400634,eng,315
The Stories of Vladimir Nabokov,Vladimir Nabokov,4.3,679729976,eng,685
The Gift,Vladimir Nabokov-Michael Scammell-Dmitri Nabokov,4,141185872,eng,406
Lectures on Literature,Vladimir Nabokov-Fredson Bowers-John Updike,4.33,156027755,eng,385
Novels & Memoirs 1941–1951: The Real Life of Sebastian Knight / Bend Sinister / Speak  Memory,Vladimir Nabokov-Brian Boyd,4.38,1883011183,eng,734
The American Years,Brian Boyd,4.31,691024715,eng,800
Laughter in the Dark,Vladimir Nabokov,3.96,811216748,eng,292
The Luzhin Defense,Vladimir Nabokov-Michael Scammell,3.95,679727221,eng,256
King  Queen  Knave,Vladimir Nabokov-Dmitri Nabokov,3.81,141185775,eng,275
A Woman of Substance (Emma Harte Saga #1),Barbara Taylor Bradford,4.17,031235326X,eng,928
The Ravenscar Dynasty (Ravenscar  #1),Barbara Taylor Bradford,3.61,312354606,en-US,484
Superman: Birthright,Mark Waid-Alfred Gough-Miles Millar-Dave McCaig-Gerry Alanguilan-Leinil Francis Yu,4.13,1401202527,eng,287
Dark Birthright,Jeanne Treat-Jane Starr Weils,3.63,097216748X,eng,429
Birthright (Diablo: The Sin War  #1),Richard A. Knaak,3.74,743471229,eng,326
Birthright,Joseph Amiel,3.86,241115078,eng,407
Deeds,Joseph Amiel,3.59,747402469,eng,583
Laura's Album: A Remembrance Scrapbook of Laura Ingalls Wilder,William   Anderson-Laura Ingalls Wilder,4.3,60278420,eng,80
Writings to Young Women from Laura Ingalls Wilder: On Wisdom and Virtues (Writings to Young Women on Laura Ingalls Wilder #1),Laura Ingalls Wilder-Stephen W. Hines,3.95,1400307848,eng,113
Writings to Young Women from Laura Ingalls Wilder: On Life as a Pioneer Woman (Writings to Young Women from Laura Ingalls Wilder #2),Laura Ingalls Wilder-Stephen W. Hines,3.84,1400307856,eng,116
A Little House Traveler: Writings from Laura Ingalls Wilder's Journeys Across America,Laura Ingalls Wilder,4.14,60724919,eng,352
Laura Ingalls Wilder: A Biography,William   Anderson,4.2,60885521,eng,256
West from Home: Letters of Laura Ingalls Wilder  San Francisco  1915  (Little House #11),Laura Ingalls Wilder-Roger Lea MacBride-Margot Patterson Doss,3.84,64400816,eng,124
The Laura Ingalls Wilder Country Cookbook,Laura Ingalls Wilder-William   Anderson,4.08,64461963,eng,160
Writings to Young Women on Laura Ingalls Wilder: As Told By Her Family  Friends  and Neighbors (Writings to Young Women on Laura Ingalls Wilder #3),Laura Ingalls Wilder-Stephen W. Hines,3.89,1400307864,eng,128
The Laughing Jesus: Religious Lies and Gnostic Wisdom,Tim Freke-Peter Gandy,3.95,140008279X,en-US,276
The Erotic Phenomenon,Jean-Luc Marion-Stephen E. Lewis,4.04,226505367,eng,248
The Phenomenon of Life: Toward a Philosophical Biology,Hans Jonas-Lawrence Vogel-Eleonore Jonas,4.23,810117495,eng,304
Down to the Bonny Glen (Little House: The Martha Years  #3),Melissa Wiley-Renée Graef,4.14,64407144,eng,321
Laura: The Life of Laura Ingalls Wilder,Donald Zochert,4.11,380016362,en-GB,241
Winter Days in the Big Woods,Laura Ingalls Wilder-Renée Graef,4.28,64433730,eng,32
Winter on the Farm,Laura Ingalls Wilder-Renée Graef-Jody Wheeler,4.13,006440692X,eng,32
Summertime in the Big Woods,Laura Ingalls Wilder-Renée Graef,4.18,64434974,eng,40
Old Town in the Green Groves: Laura Ingalls Wilder's Lost Little House Years,Cynthia Rylant-Jim LaMarche,4.04,64409902,eng,176
Laura Ingalls Wilder's Fairy Poems,Laura Ingalls Wilder-Richard  Hull,3.97,385325339,eng,39
Farmer Boy (Little House  #3),Laura Ingalls Wilder-Garth Williams,4.06,60885386,eng,357
Little Town on the Prairie  (Little House  #7),Laura Ingalls Wilder-Garth Williams,4.18,60885432,eng,374
Christmas Stories (Little House Chapter Books: Laura  #10),Laura Ingalls Wilder-Renée Graef-Heather Henson,4.22,64420817,eng,80
My Little House Crafts Book: 18 Projects from Laura Ingalls Wilder's,Carolyn Strom Collins-Christina Wyss Eriksson-Mary Collier,4.05,64462048,eng,64
Christmas in the Big Woods,Laura Ingalls Wilder-Renée Graef,4.19,64434877,eng,32
Christmas In The Big Woods (Little House),Laura Ingalls Wilder-Renée Graef,4.19,590928899,eng,40
The Long Winter (Little House  #6),Laura Ingalls Wilder-Garth Williams,4.14,60885424,eng,422
A Little House Birthday,Laura Ingalls Wilder-Doris Ettlinger,4.13,006443494X,eng,40
The Deer in the Wood,Laura Ingalls Wilder-Renée Graef,4.17,64434982,eng,32
The First Four Years  (Little House  #9),Laura Ingalls Wilder-Garth Williams,3.88,60885459,eng,126
The Little House Cookbook: Frontier Foods from Laura Ingalls Wilder's Classic Stories,Barbara M. Walker-Garth Williams,4.14,64460908,eng,256
Let the Hurricane Roar,Rose Wilder Lane,3.96,64401588,en-US,118
Little House in the Big Woods (Little House  #1),Laura Ingalls Wilder-Garth Williams,4.18,60885378,eng,198
Laura Ingalls Wilder Country: The People and Places in Laura Ingalls Wilder's Life and books,William   Anderson,4.23,613926552,eng,120
Flowers (Eyewitness Explorers),David Burnie,4,789422131,eng,64
Animal: The Definitive Visual Guide to the World's Wildlife,David Burnie-Don E. Wilson,4.52,756616344,eng,624
The Making Of Disney's Animal Kingdom Theme Park,Melody Malmberg-Walt Disney Company,4.33,786864028,eng,192
El Reino Animal,Sergio Ramírez,3.69,9707705736,spa,256
Tree (Eyewitness Books),David Burnie-Peter K. Chadwick,4.07,789458209,eng,64
Get a Grip on Evolution,David Burnie,3.72,737000368,eng,192
Insects & Spiders,David Burnie,4.33,783548818,eng,64
The Prophet of Yonwood,Jeanne DuPrau,3.27,375875263,eng,289
Muhammad: A Prophet for Our Time,Karen Armstrong,4.04,60598972,eng,256
Prophet,Frank E. Peretti,3.94,1581345267,en-US,416
Access the Power of Your Higher Self: Your Source of Inner Guidance and Spiritual Transformation (Pocket Guides to Practical Spirituality),Elizabeth Clare Prophet,4.12,922729360,en-GB,100
Hailstones and Halibut Bones,Mary O'Neill-John Wallner,4.32,385410786,en-US,64
The Second Sex,Simone de Beauvoir-H.M. Parshley-Margaret Crosland,4.12,1857151372,eng,848
The Second Sex,Simone de Beauvoir-H.M. Parshley,4.12,009974421X,eng,880
The Church and the Second Sex,Mary Daly,3.81,807011010,eng,231
Thomas Jefferson (Oxford Portraits),R.B. Bernstein,3.99,195181301,eng,253
The Jefferson Bible: The Life and Morals of Jesus of Nazareth,Thomas Jefferson,3.82,1557091846,eng,103
Who Was Thomas Jefferson?,Dennis Brindell Fradin-Nancy Harrison-John   O'Brien,4.06,448431459,eng,103
The Man Who Listens to Horses,Monty Roberts-Lucy Grealy-Lawrence Scanlan,4.11,034542705X,en-US,352
Under Orders (Sid Halley  #4),Dick Francis,3.86,399154000,eng,308
For Kicks,Dick Francis,3.98,425194981,eng,292
Forfeit,Dick Francis,3.92,425201910,eng,256
Dead Cert,Dick Francis,3.96,425194973,eng,277
Rat Race,Dick Francis,3.94,425210766,eng,304
Reflex,Dick Francis,4.06,425206955,eng,304
Decider,Dick Francis,3.99,042519938X,eng,341
Slay Ride,Dick Francis,3.79,425196739,en-US,288
Bonecrack,Dick Francis,3.97,425208850,eng,304
Nerve,Dick Francis,4.02,515123463,eng,320
Break In (Kit Fielding  #1),Dick Francis,4.03,425199932,eng,320
Blood Sport,Dick Francis,3.87,425199169,eng,288
Straight,Dick Francis,4.04,042520846X,eng,320
10 lb Penalty,Dick Francis,3.89,042519745X,eng,320
Trial Run,Dick Francis,3.82,425199835,eng,272
Wild Horses,Dick Francis,3.91,425196747,eng,352
Field of Thirteen,Dick Francis,3.73,042519499X,eng,304
Driving Force,Dick Francis,3.96,449221393,eng,384
Flying Finish,Dick Francis,3.93,515125601,eng,276
Bolt (Kit Fielding  #2),Dick Francis,4.03,425202887,eng,288
Come to Grief (Sid Halley  #3),Dick Francis,4,425207188,eng,384
Enquiry,Dick Francis,3.94,425197050,en-US,272
Odds Against (Sid Halley  #1),Dick Francis,4.05,425198006,eng,288
Bonecrack,Dick Francis,3.97,671428195,eng,222
Banker,Dick Francis,4.04,718132386,eng,288
Whip Hand (Sid Halley  #2),Dick Francis,4.08,425203549,eng,304
The Dick Francis Treasury of Great Racing Stories,Dick Francis-John Welcome,3.78,449220494,eng,221
Come to Grief / Decider / Wild Horses,Dick Francis,4.21,399143068,eng,707
Odds Against,Dick Francis,4.05,515125512,eng,277
Eats  Shoots & Leaves: Why  Commas Really Do Make a Difference!,Lynne Truss-Bonnie Timmons,4.14,399244913,eng,32
Eats  Shoots & Leaves: The Zero Tolerance Approach to Punctuation,Lynne Truss,3.87,1592402038,eng,209
Talk to the Hand: The Utter Bloody Rudeness of Everyday Life,Lynne Truss,3.32,1861979339,eng,214
The Spice and Herb Bible,Ian Hemphill-Kate Hemphill,4.25,778801462,eng,606
Master and Commander (Aubrey/Maturin   #1),Patrick O'Brian,4.1,393325172,en-US,459
The Making of Master and Commander: The Far Side of the World,Tom McGregor,3.96,393325539,eng,168
The Ionian Mission (Aubrey/Maturin  #8),Patrick O'Brian-Simon Vance,4.32,786177837,eng,10
Her Master and Commander (Just Ask Reeves  #1),Karen Hawkins,3.8,60584084,eng,372
Strange Sounds: Music  Technology & Culture,Timothy D. Taylor,3.77,415936845,eng,278
Stanley Park,Timothy  Taylor,3.57,1582432902,eng,436
Crow Lake,Mary Lawson,3.87,385337639,eng,324
Shadow of the Giant (Ender's Shadow  #4),Orson Scott Card,3.99,1841492051,eng,388
Xenocide (Ender's Saga  #3),Orson Scott Card-Piotr W. Cholewa,3.79,312861877,eng,592
The Lost World (Jurassic Park #2),Michael Crichton,3.76,752224417,eng,448
The Life of Sir Arthur Conan Doyle,John Dickson Carr-Daniel Stashower,4.02,786712341,eng,320
The Lost World (TV Tie-in),Arthur Conan Doyle-Philip Gooden,3.92,142002720,eng,224
Las aventuras de Sherlock Holmes,Arthur Conan Doyle-Javier Gomez Rea,4.26,8497643658,eng,192
The Works of Sir Arthur Conan Doyle Complete and Unabridged,Arthur Conan Doyle,4.49,681319216,eng,799
Wild Ducks Flying Backward,Tom Robbins,3.54,553383531,eng,272
Unlimited Power: The New Science Of Personal Achievement,Anthony Robbins-Kenneth H. Blanchard-Jason Winters,4.22,684845776,eng,448
Robbins and Cotran Review of Pathology,Edward Klatt-Vinay Kumar,4.37,721601944,en-US,432
Fierce Invalids Home from Hot Climates,Tom Robbins,4.03,055337933X,en-US,445
Jitterbug Perfume,Tom Robbins,4.24,1842430351,eng,342
West Africa,Lonely Planet-Anthony Ham-Mary Fitzpatrick-Matt Phillips-Tim Bewer-Jean-Bernard Carillet-Paul Clammer-Michael Grosberg-Katharina Lobeck-James Bainbridge,3.69,1740597710,eng,904
Life  the Universe and Everything (Hitchhiker's Guide to the Galaxy  #3),Douglas Adams,4.2,345418905,eng,224
So Long  and Thanks for All the Fish (Hitchhiker's Guide to the Galaxy  #4),Douglas Adams,4.09,330491237,eng,167
The Restaurant at the End of the Universe (The Hitchhiker's Guide to the Galaxy  #2),Douglas Adams-Martin  Freeman,4.22,739332074,eng,6
Starship Titanic,Terry Jones-Marie-Catherine Caillava,3.6,2290053651,fre,189
Dirk Gently's Holistic Detective Agency / The Long Dark Tea-time of the Soul (Dirk Gently #1-2),Douglas Adams,4.18,517119129,eng,436
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1),Douglas Adams,4.22,330491199,eng,180
The Hitchhiker's Trilogy (Hitchhiker's Guide  #1-5),Douglas Adams,4.4,739410121,eng,839
The Illustrated Hitchhiker's Guide To The Galaxy,Douglas Adams,4.32,517599244,eng,96
Margaret Atwood: The Handmaid's Tale,Hélène Greven-Borde,4.2,2864603497,fre,108
Point to Point Navigation,Gore Vidal,3.71,385517211,eng,277
An Inconvenient Truth: The Planetary Emergency of Global Warming and What We Can Do About It,Al Gore,3.76,1594865671,eng,328
Palimpsest,Gore Vidal,4,140260897,en-US,448
Lincoln,Gore Vidal,4.2,375708766,eng,672
Julian,Gore Vidal,4.19,037572706X,eng,528
Burr,Gore Vidal,4.07,375708731,eng,430
Comfort Me with Apples: More Adventures at the Table,Ruth Reichl,4.03,375758739,eng,302
Comfort Me With Apples,Ruth Reichl,4.03,965193772,eng,299
The Last Temptation of Christ,Nikos Kazantzakis-Peter A. Bien,4.16,068485256X,eng,506
Her Last Temptation,Leslie Kelly,3.59,373692285,eng,207
The Last Temptation (Tony Hill & Carol Jordan  #3),Val McDermid,4,312936915,eng,496
The Last Temptation,Nikos Kazantzakis-Peter A. Bien,4.16,571178561,eng,589
Desert Dawn,Waris Dirie-Jeanne D'Haem,3.83,1844080080,en-GB,240
Desert Flower,Waris Dirie-Cathleen Miller,4.13,688172377,eng,240
Desert Children,Waris Dirie-Corinna Milborn-Sheelagh Alabaster,3.71,1844082520,en-US,240
Desert Flower,Waris Dirie,4.13,1860497586,en-GB,369
Nomadentochter,Waris Dirie,3.83,3764501383,ger,300
Wüstenblume,Waris Dirie-Cathleen Miller,4.13,3453212614,ger,280
L'Aube du désert,Waris Dirie-Jeanne d' Haem,3.83,2226135510,fre,288
Die fünfte Frau (Wallander  #6),Henning Mankell,4.03,3423203668,ger,565
The Beach,Joanna Strange,3.83,582435676,eng,112
The Weekenders: Travels in the Heart of Africa,W.F. Deedes-Sue Ryan-Alex Garland-Tony Hawks-Andrew O'Hagan-Irvine Welsh-Giles Foden-Victoria Glendinning,3.19,91881803,eng,340
The Tesseract,Alex Garland,3.22,140258426,eng,335
Der Strand,Alex Garland,3.93,3442449316,ger,440
I Feel Bad About My Neck: And Other Thoughts on Being a Woman,Nora Ephron,3.68,307264556,eng,137
Feel the Fear . . . and Do It Anyway,Susan  Jeffers,4.03,345487427,eng,217
Touch & Feel: Animals Boxed Set,Jennifer Quasha-Deni Brown-Dawn Sirett,4.05,789488779,eng,36
Today I Feel Silly  Other Moods That Make My Day,Jamie Lee Curtis-Laura Cornell,4.15,60245603,en-US,40
My First Word Touch and Feel,Anne Millard,3.77,789479311,eng,12
When I Feel Angry,Nancy Cote-Cornelia Maude Spelman,3.99,807588970,eng,24
Violet's House: A Giant Touch-and-Feel Book (Baby Einstein),Julie Aigner-Clark-Nadeem Zaidi,3.98,786818727,eng,10
The White Masai,Corinne Hofmann-Peter Millar,3.43,61131520,eng,320
